2/1/16,0.162,0.046,,Total P,58.871
2/2/16,0.18,0.094,,Total N,31.746
2/2/16,0.121,0.037,,P/N,1.854438354
2/2/16,0.208,0.033,,,
2/2/16,0.097,0.07,,,
2/2/16,0.203,0.029,,,
2/2/16,0.077,0.063,,,
2/2/16,0.088,0.066,,,
2/3/16,0.047,0.124,,,
2/3/16,0.109,0.043,,,
2/3/16,0.13,0.036,,,
2/3/16,0.132,0.049,,,
2/4/16,0.046,0.124,,,
2/4/16,0.035,0.078,,,
2/4/16,0.131,0.029,,,
2/4/16,0.034,0.077,,,
2/5/16,0.128,0.061,,,
2/8/16,0.16,0.062,,,
2/8/16,0.089,0.1,,,
2/8/16,0.167,0.034,,,
2/8/16,0.078,0.054,,,
2/8/16,0.105,0.029,,,
2/9/16,0.112,0.044,,,
2/9/16,0.124,0.084,,,
2/9/16,0.096,0.106,,,
2/9/16,0.107,0.032,,,
2/9/16,0.119,0.077,,,
2/10/16,0.048,0.026,,,
2/10/16,0.089,0.071,,,
2/10/16,0.134,0.092,,,
2/10/16,0.143,0.032,,,
2/10/16,0.128,0.027,,,
2/10/16,0.161,0.059,,,
2/10/16,0.099,0.038,,,
2/10/16,0.107,0.041,,,
2/10/16,0.093,0.056,,,
2/11/16,0.049,0.199,,,
2/11/16,0.085,0.077,,,
2/11/16,0.101,0.081,,,
2/11/16,0.092,0.063,,,
2/11/16,0.117,0.045,,,
2/11/16,0.064,0.036,,,
2/11/16,0.1,0.066,,,
2/11/16,0.116,0.037,,,
2/12/16,0.04,0,,,
2/12/16,0.042,0.048,,,
2/12/16,0.165,0.088,,,
2/13/16,0.04,0,,,
2/13/16,0.109,0.119,,,
2/14/16,0.104,0.051,,,
2/14/16,0.1,0.02,,,
2/15/16,0.065,0.059,,,
2/15/16,0.119,0.08,,,
2/15/16,0.086,0.014,,,
2/16/16,0.142,0.136,,,
2/16/16,0.063,0.049,,,
2/17/16,0,0.037,,,
2/17/16,0.092,0.125,,,
2/17/16,0.074,0.064,,,
2/17/16,0.075,0.099,,,
2/17/16,0.082,0.079,,,
2/17/16,0.1,0.042,,,
2/18/16,0.085,0.023,,,
2/18/16,0.065,0.051,,,
2/18/16,0.063,0.045,,,
2/18/16,0.148,0.099,,,
2/18/16,0.064,0.078,,,
2/18/16,0.089,0.087,,,
2/19/16,0.058,0.033,,,
2/21/16,0.185,0.018,,,
2/21/16,0.136,0.059,,,
2/22/16,0.163,0.05,,,
2/22/16,0.083,0.047,,,
2/22/16,0.078,0.045,,,
2/22/16,0.066,0.089,,,
2/23/16,0.122,0.032,,,
2/23/16,0.122,0.032,,,
2/23/16,0.109,0.017,,,
2/24/16,0.129,0.064,,,
2/27/16,0.034,0.015,,,
2/27/16,0.106,0.098,,,
2/27/16,0.106,0.098,,,
3/2/16,0.07,0.025,,,
3/2/16,0.043,0.033,,,
3/2/16,0.102,0.013,,,
3/2/16,0.097,0.018,,,
3/2/16,0.102,0.045,,,
3/2/16,0.095,0.031,,,
3/2/16,0.143,0.024,,,
3/2/16,0.144,0.068,,,
3/2/16,0.073,0.032,,,
3/2/16,0.083,0.177,,,
3/2/16,0.141,0.074,,,
3/2/16,0.114,0.022,,,
3/2/16,0.133,0.097,,,
3/2/16,0.126,0.046,,,
3/2/16,0.167,0.05,,,
3/2/16,0.17,0.042,,,
3/2/16,0.121,0.034,,,
3/2/16,0.077,0.011,,,
3/2/16,0.09,0.028,,,
3/2/16,0.122,0.053,,,
3/3/16,0.114,0.055,,,
3/3/16,0.115,0.056,,,
3/3/16,0.1,0.037,,,
3/3/16,0.156,0.044,,,
3/3/16,0.165,0.041,,,
3/4/16,0.156,0.048,,,
3/5/16,0.11,0.078,,,
3/6/16,0.061,0.021,,,
3/7/16,0.065,0.081,,,
3/7/16,0.119,0.05,,,
3/7/16,0.122,0.073,,,
3/7/16,0.148,0.037,,,
